date,volcano,product,value,baseline,zscore,severity,detected_at
2026-03-03T17:54:54,Lascar,so2,103.7,0.1,207.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2023-10-12T18:57:03,Llaima,so2,100.0,0.1,199.8,red,2026-05-10T07:50:57.786570+00:00
2023-10-12T18:57:03,Villarrica,so2,100.0,0.1,199.8,red,2026-05-10T07:50:57.786570+00:00
2026-02-13T18:34:58,Lascar,so2,98.1,0.1,196.0,red,2026-05-10T07:50:57.786570+00:00
2025-09-24T17:54:45,Lascar,so2,97.0,0.1,193.8,red,2026-05-10T07:50:57.786570+00:00
2025-03-31T18:11:30,Lascar,so2,93.8,0.1,187.4,red,2026-05-10T07:50:57.786570+00:00
2022-12-13T18:44:26,Lascar,so2,91.9,0.1,183.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2023-01-28T19:18:01,Villarrica,so2,91.1,0.1,182.0,red,2026-05-10T07:50:57.786570+00:00
2022-02-01T18:47:14,Lascar,so2,90.4,0.1,180.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-12-21T17:53:59,Lascar,so2,89.9,0.1,179.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-12-08T18:35:54,Lascar,so2,89.1,0.1,178.0,red,2026-05-10T07:50:57.786570+00:00
2025-04-07T17:36:31,Lascar,so2,89.1,0.1,178.0,red,2026-05-10T07:50:57.786570+00:00
2025-02-09T18:46:13,Lascar,so2,86.3,0.1,172.4,red,2026-05-10T07:50:57.786570+00:00
2023-12-25T19:07:58,Villarrica,so2,86.3,0.1,172.4,red,2026-05-10T07:50:57.786570+00:00
2023-10-25T14:37:41,Villarrica,swir,86.0,0.1,171.8,red,2026-05-10T07:50:57.786570+00:00
2023-10-24T18:32:02,Villarrica,so2,83.5,0.1,166.8,red,2026-05-10T07:50:57.786570+00:00
2022-12-19T18:28:59,Lascar,so2,83.1,0.1,166.0,red,2026-05-10T07:50:57.786570+00:00
2025-08-04T18:48:23,Lascar,so2,81.6,0.1,163.0,red,2026-05-10T07:50:57.786570+00:00
2022-03-05T18:46:51,Lascar,so2,79.5,0.1,158.8,red,2026-05-10T07:50:57.786570+00:00
2022-09-07T14:27:21,Nevados de Chillan,swir,79.0,0.1,157.8,red,2026-05-10T07:50:57.786570+00:00
